"","country","year","iso_code","population","gdp","cement_co2","cement_co2_per_capita","co2","co2_growth_abs","co2_growth_prct","co2_including_luc","co2_including_luc_growth_abs","co2_including_luc_growth_prct","co2_including_luc_per_capita","co2_including_luc_per_gdp","co2_including_luc_per_unit_energy","co2_per_capita","co2_per_gdp","co2_per_unit_energy","coal_co2","coal_co2_per_capita","consumption_co2","consumption_co2_per_capita","consumption_co2_per_gdp","cumulative_cement_co2","cumulative_co2","cumulative_co2_including_luc","cumulative_coal_co2","cumulative_flaring_co2","cumulative_gas_co2","cumulative_luc_co2","cumulative_oil_co2","cumulative_other_co2","energy_per_capita","energy_per_gdp","flaring_co2","flaring_co2_per_capita","gas_co2","gas_co2_per_capita","ghg_excluding_lucf_per_capita","ghg_per_capita","land_use_change_co2","land_use_change_co2_per_capita","methane","methane_per_capita","nitrous_oxide","nitrous_oxide_per_capita","oil_co2","oil_co2_per_capita","other_co2_per_capita","other_industry_co2","primary_energy_consumption","share_global_cement_co2","share_global_co2","share_global_co2_including_luc","share_global_coal_co2","share_global_cumulative_cement_co2","share_global_cumulative_co2","share_global_cumulative_co2_including_luc","share_global_cumulative_coal_co2","share_global_cumulative_flaring_co2","share_global_cumulative_gas_co2","share_global_cumulative_luc_co2","share_global_cumulative_oil_co2","share_global_cumulative_other_co2","share_global_flaring_co2","share_global_gas_co2","share_global_luc_co2","share_global_oil_co2","share_global_other_co2","total_ghg","total_ghg_excluding_lucf","trade_co2","trade_co2_share","gdp_per_capita","continent"
"1","Afghanistan",2015,"AFG",33753500,62783393792,0.041,0.001,9.791,0.621,6.77,10.194,0.914,9.848,0.302,0.162,0.275,0.29,0.156,0.265,2.843,0.084,NA,NA,NA,2.228,153.602,492.962,35.194,5.956,18.619,858.952,91.605,NA,1096.538,0.59,0,0,0.282,0.008,0.803,0.795,0.403,0.012,15.96,0.473,4.62,0.137,6.625,0.196,NA,NA,37.012,0.003,0.028,0.025,0.019,0.006,0.01,0.022,0.005,0.037,0.009,0.12,0.017,NA,0,0.004,0.007,0.056,NA,26.84,27.09,NA,NA,1860.05581027153,"Asie"
"2","Aland Islands",2015,"ALA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"Europe"
"3","Albania",2015,"ALB",2882482,30444531712,0.954,0.331,4.712,-1.288,-21.46,5.885,-0.811,-12.115,2.042,0.193,0.173,1.635,0.155,0.138,0.322,0.112,5.917,2.053,0.194,18.322,264.364,524.691,65.016,0.047,15.814,452.724,165.165,NA,11824.314,1.12,0.035,0.012,0.062,0.022,3.199,2.907,1.172,0.407,3.11,1.079,1.19,0.413,3.338,1.158,NA,NA,34.083,0.066,0.013,0.014,0.002,0.052,0.017,0.024,0.009,0,0.008,0.063,0.031,NA,0.009,0.001,0.022,0.028,NA,8.38,9.22,1.204,25.562,10561.9156379814,"Europe"
"4","Algeria",2015,"DZA",39543148,551519125504,8.062,0.204,160.087,8.805,5.82,162.213,8.438,5.487,4.102,0.294,0.263,4.048,0.29,0.259,0.502,0.013,NA,NA,NA,176.973,3835.217,4758.582,112.127,594.907,1632.083,1222.274,1319.127,NA,15616.312,1.12,17.165,0.434,78.769,1.992,6.655,6.639,2.125,0.054,89.63,2.267,12.32,0.312,55.59,1.406,NA,NA,617.518,0.558,0.45,0.396,0.003,0.497,0.252,0.213,0.016,3.716,0.78,0.17,0.247,NA,4.475,1.16,0.039,0.466,NA,262.52,263.14,NA,NA,13947.2741397321,"Afrique"
"5","American Samoa",2015,"ASM",51391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.476,NA,NA,28009.195,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"Océanie"
"6","Andorra",2015,"AND",71766,NA,0,0,0.465,0.004,0.794,0.465,0.004,0.794,6.484,NA,NA,6.484,NA,NA,0,0,NA,NA,NA,0,12.674,13.48,0,0,0,0.806,12.674,NA,NA,NA,0,0,0,0,8.082,8.082,0,0,0.05,0.697,0,0,0.465,6.484,NA,NA,NA,0,0.001,0.001,0,0,0.001,0.001,0,0,0,0,0.002,NA,0,0,0,0.004,NA,0.58,0.58,NA,NA,NA,"Europe"
"7","Angola",2015,"AGO",28127724,176848732160,2.03,0.072,25.531,0.383,1.524,116.435,5.33,4.797,4.14,0.658,0.995,0.908,0.144,0.218,0,0,NA,NA,NA,19.178,519.366,5986.566,1.601,204.525,33.517,10183.135,260.546,NA,4159.578,0.662,4.763,0.169,1.44,0.051,3.106,4.829,90.904,3.232,43.27,1.538,24.98,0.888,17.298,0.615,NA,NA,116.999,0.141,0.072,0.284,0,0.054,0.034,0.268,0,1.278,0.016,1.42,0.049,NA,1.242,0.021,1.688,0.145,NA,135.83,87.36,NA,NA,6287.34597082935,"Afrique"
"8","Anguilla",2015,"AIA",14554,NA,0,0,0.154,0.015,10.526,0.154,0.015,10.526,10.574,NA,NA,10.574,NA,NA,0,0,NA,NA,NA,0,2.719,2.719,0,0,0,0,2.719,NA,NA,NA,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,0.154,10.574,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0.001,NA,0,0,0,0.001,NA,NA,NA,NA,NA,NA,"Amérique"
"9","Antigua and Barbuda",2015,"ATG",89958,NA,0,0,0.48,0.018,3.968,0.48,0.018,3.968,5.336,NA,0.158,5.336,NA,0.158,0,0,NA,NA,NA,0,19.13,17.737,0,0,0,-8.097,19.13,NA,33830.762,NA,0,0,0,0,12.117,12.117,0,0,0.2,2.223,0.01,0.111,0.48,5.336,NA,NA,3.043,0,0.001,0.001,0,0,0.001,0.001,0,0,0,-0.001,0.004,NA,0,0,0,0.004,NA,1.09,1.09,NA,NA,NA,"Amérique"
"10","Argentina",2015,"ARG",43257064,847854960640,4.571,0.106,191.744,3.347,1.777,282.318,-1.159,-0.409,6.527,0.333,0.283,4.433,0.226,0.192,5.467,0.126,200.071,4.625,0.236,176.496,7544.858,19984.834,519.217,173.294,2401.443,13024.787,4274.408,NA,23037.494,1.175,1.218,0.028,93.535,2.162,8.554,10.075,90.574,2.094,122.12,2.823,43.62,1.008,86.954,2.01,NA,NA,996.534,0.316,0.539,0.69,0.037,0.496,0.497,0.896,0.072,1.083,1.147,1.817,0.801,NA,0.317,1.378,1.682,0.729,NA,435.81,370,8.327,4.343,19600.3815848436,"Amérique"
